2023-09-29 07:20:53 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 07:20:53 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 07:20:54 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 07:21:44 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 07:21:44 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 07:21:44 | createOrderInDatabase | INFO | Order ID Retrieval Complted.6
2023-09-29 07:21:44 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 07:21:44 | getCartItems | INFO | Cart Items start retrieving from the database.
2023-09-29 07:21:44 | getCartItems | INFO | Cart Items retrieval finished from the database.
2023-09-29 07:21:44 | getCartItems | INFO | Cart Items: [Cart{item=Item{id=477, itemPrice=1000.0}, itemQuantity=4}, Cart{item=Item{id=554, itemPrice=400.0}, itemQuantity=5}]
2023-09-29 07:21:44 | billing | INFO | Billing Completed for order 6!..
2023-09-29 07:21:56 | getCartItems | INFO | Cart Items start retrieving from the database.
2023-09-29 07:21:56 | getCartItems | INFO | Cart Items retrieval finished from the database.
2023-09-29 07:21:56 | getCartItems | INFO | Cart Items: [Cart{item=Item{id=477, itemPrice=1000.0}, itemQuantity=4}, Cart{item=Item{id=554, itemPrice=400.0}, itemQuantity=5}]
2023-09-29 07:21:56 | printReceipt | INFO | Printing Receipt Completed.
2023-09-29 08:19:25 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:19:26 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:19:26 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:20:13 | login | INFO | Login attempt from: admin successful 

2023-09-29 08:20:58 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 08:20:58 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 08:20:58 | createOrderInDatabase | INFO | Order ID Retrieval Completed.7
2023-09-29 08:20:59 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 08:20:59 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:20:59 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:20:59 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=244, itemPrice=200.0}, itemQuantity=55}, Cart{item=Item{id=2345, itemPrice=200.0}, itemQuantity=5}]
2023-09-29 08:20:59 | billing | INFO | Billing Completed for order 7!..
2023-09-29 08:21:40 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:21:40 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:21:40 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=244, itemPrice=200.0}, itemQuantity=55}, Cart{item=Item{id=2345, itemPrice=200.0}, itemQuantity=5}]
2023-09-29 08:21:40 | printReceipt | INFO | Printing Receipt Completed.
2023-09-29 08:27:47 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:27:47 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:27:48 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:27:53 | login | INFO | Login attempt from: admin successful 

2023-09-29 08:28:11 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 08:28:11 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 08:28:11 | createOrderInDatabase | INFO | Order ID Retrieval Completed.8
2023-09-29 08:28:12 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 08:28:12 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:28:12 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:28:12 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=234, itemPrice=200.0}, itemQuantity=4}, Cart{item=Item{id=300, itemPrice=5.0}, itemQuantity=100}]
2023-09-29 08:28:12 | billing | INFO | Billing Completed for order 8!..
2023-09-29 08:28:25 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:28:25 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
2023-09-29 08:28:25 | getCartItemsFromDb | INFO | Cart Items: [Cart{item=Item{id=234, itemPrice=200.0}, itemQuantity=4}, Cart{item=Item{id=300, itemPrice=5.0}, itemQuantity=100}]
2023-09-29 08:28:25 | printReceipt | INFO | Printing Receipt Completed.
2023-09-29 08:33:30 | createUserInDatabase | INFO | Creating default user admin in database.
2023-09-29 08:33:30 | createUserInDatabase | INFO | Exception Creating User: User with username admin already exists!
2023-09-29 08:33:30 | createBillingTrigger | INFO | Trigger exists, skipping creation.
2023-09-29 08:33:57 | login | INFO | Login attempt from: admin successful 

2023-09-29 08:34:14 | createOrderInDatabase | INFO | Order Created In the Database Successfully
2023-09-29 08:34:14 | createOrderInDatabase | INFO | Retrieving the Order ID...
2023-09-29 08:34:14 | createOrderInDatabase | INFO | Order ID Retrieval Completed.9
2023-09-29 08:34:14 | insertOrderItemsToDatabase | INFO | Batch Insert of cart items into database completed.
2023-09-29 08:34:14 | getCartItemsFromDb | INFO | Cart Items start retrieving from the database.
2023-09-29 08:34:14 | getCartItemsFromDb | INFO | Cart Items retrieval finished from the database.
